pop0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,40.77277658,Front,1,gene[0]:,12,5,Sunev,71.37468905,gene[1]:,22,4,Sunev,71.37468905,gene[2]:,22,22,Sunev,71.37468905,gene[3]:,22,23,Sunev,71.37468905,,,,,,,,,,,,,,,,,,,,,,,,,
pop21:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,40.77277658,Front,1,gene[0]:,12,5,Sunev,69.60192712,gene[1]:,22,4,Sunev,69.60192712,gene[2]:,22,22,Sunev,69.60192712,gene[3]:,22,23,Sunev,69.60192712,,,,,,,,,,,,,,,,,,,,,,,,,
pop22:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,40.77277658,Front,1,gene[0]:,12,5,Sunev,67.20381827,gene[1]:,22,4,Sunev,67.20381827,gene[2]:,22,22,Sunev,67.20381827,gene[3]:,22,23,Sunev,67.20381827,,,,,,,,,,,,,,,,,,,,,,,,,
pop23:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,40.63242325,Front,1,gene[0]:,12,5,Sunev,63.93557789,gene[1]:,22,4,Sunev,63.93557789,gene[2]:,23,20,Sunev,63.93557789,gene[3]:,22,22,Sunev,63.93557789,,,,,,,,,,,,,,,,,,,,,,,,,
pop24:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,40.63242325,Front,1,gene[0]:,12,5,Sunev,62.6946688,gene[1]:,22,4,Sunev,62.6946688,gene[2]:,23,20,Sunev,62.6946688,gene[3]:,22,22,Sunev,62.6946688,,,,,,,,,,,,,,,,,,,,,,,,,
pop25:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,39.4749004,Front,1,gene[0]:,5,5,Sunev,60.44775259,gene[1]:,15,5,Sunev,60.44775259,gene[2]:,20,4,Sunev,60.44775259,gene[3]:,24,14,Sunev,60.44775259,gene[4]:,24,20,Sunev,60.44775259,,,,,,,,,,,,,,,,,,,,
pop26:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
